scraped_date,match_date,match_link,home_team,away_team,league_name,home_score,away_score,partial_results,venue,venue_town,venue_country,1x2_market
2026-06-30 23:16:41 UTC,2021-11-14 15:00:00 UTC,https://www.oddsportal.com/football/h2h/croatia-K8aznggo/russia-hrgrswHh/,Croatia,Russia,World Cup 2022,1,0,"(0:0, 1:0)",Stadion Poljud,Split,Croatia,"[{'1': '1.60', 'X': '4.00', '2': '5.80', 'bookmaker_name': 'Betano.ro', 'period': 'FullTime'}, {'1': '1.60', 'X': '4.05', '2': '6.10', 'bookmaker_name': 'Fortuna.ro', 'period': 'FullTime'}, {'1': '1.62', 'X': '4.15', '2': '5.45', 'bookmaker_name': 'Superbet.ro', 'period': 'FullTime'}]"
2026-06-30 23:16:45 UTC,2022-11-26 17:00:00 UTC,https://www.oddsportal.com/football/h2h/denmark-0KUdxQVi/france-QkGeVG1n/,France,Denmark,World Cup 2022,2,1,"(0:0, 2:1)",Stadium 974,Doha,Qatar,"[{'1': '1.80', 'X': '3.45', '2': '4.70', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.75', 'X': '3.55', '2': '5.00', 'bookmaker_name': 'Betano.ro', 'period': 'FullTime'}, {'1': '1.85', 'X': '3.75', '2': '5.10', 'bookmaker_name': 'Fortuna.ro', 'period': 'FullTime'}, {'1': '1.85', 'X': '3.50', '2': '4.75', 'bookmaker_name': 'Superbet.ro', 'period': 'FullTime'}, {'1': '1.85', 'X': '3.55', '2': '4.90', 'bookmaker_name': 'Unibetro', 'period': 'FullTime'}]"
2026-06-30 23:16:57 UTC,2026-05-28 20:00:00 UTC,https://www.oddsportal.com/football/h2h/egypt-bejDn7NN/russia-hrgrswHh/,Egypt,Russia,Friendly International,1,0,"(0:0, 1:0)",Misr Stadium,Cairo,Egypt,"[{'1': '2.16', 'X': '3.15', '2': '3.45', 'bookmaker_name': 'Fortuna.ro', 'period': 'FullTime'}, {'1': '2.15', 'X': '3.20', '2': '3.40', 'bookmaker_name': 'Getsbet', 'period': 'FullTime'}, {'1': '2.05', 'X': '3.20', '2': '3.25', 'bookmaker_name': 'MrBitRO', 'period': 'FullTime'}, {'1': '2.20', 'X': '3.45', '2': '3.55', 'bookmaker_name': 'Superbet.ro', 'period': 'FullTime'}]"
2026-06-30 23:17:03 UTC,2026-03-27 18:30:00 UTC,https://www.oddsportal.com/football/h2h/egypt-bejDn7NN/saudi-arabia-biSY8ox4/,Saudi Arabia,Egypt,Friendly International,0,4,"(0:3, 0:1)",King Abdullah Sports City,Jeddah,Saudi Arabia,"[{'1': '2.75', 'X': '3.00', '2': '2.40', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '3.05', 'X': '3.10', '2': '2.40', 'bookmaker_name': 'Betano.ro', 'period': 'FullTime'}, {'1': '3.00', 'X': '3.05', '2': '2.38', 'bookmaker_name': 'Fortuna.ro', 'period': 'FullTime'}, {'1': '3.00', 'X': '2.90', '2': '2.36', 'bookmaker_name': 'Getsbet', 'period': 'FullTime'}, {'1': '3.00', 'X': '3.14', '2': '2.45', 'bookmaker_name': 'MrBitRO', 'period': 'FullTime'}, {'1': '3.25', 'X': '2.87', '2': '2.40', 'bookmaker_name': 'Superbet.ro', 'period': 'FullTime'}, {'1': '2.90', 'X': '3.10', '2': '2.40', 'bookmaker_name': 'Unibetro', 'period': 'FullTime'}]"
2026-06-30 23:17:14 UTC,2018-06-15 14:00:00 UTC,https://www.oddsportal.com/football/h2h/egypt-bejDn7NN/uruguay-xMk44orG/,Egypt,Uruguay,World Cup 2018,0,1,"(0:0, 0:1)",Yekaterinburg Arena,Yekaterinburg,Russia,"[{'1': '8.50', 'X': '4.00', '2': '1.46', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '7.90', 'X': '4.05', '2': '1.52', 'bookmaker_name': 'Fortuna.ro', 'period': 'FullTime'}]"
2026-06-30 23:17:21 UTC,2026-06-27 23:00:00 UTC,https://www.oddsportal.com/football/h2h/england-j9N9ZNFA/panama-OWKqbCfi/,Panama,England,World Championship 2026,0,2,"(0:0, 0:2)",MetLife Stadium,"East Rutherford, NJ",USA,"[{'1': '15.00', 'X': '7.50', '2': '1.14', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '19.50', 'X': '8.50', '2': '1.17', 'bookmaker_name': 'Betano.ro', 'period': 'FullTime'}, {'1': '18.50', 'X': '8.20', '2': '1.15', 'bookmaker_name': 'Fortuna.ro', 'period': 'FullTime'}, {'1': '17.00', 'X': '8.00', '2': '1.19', 'bookmaker_name': 'Getsbet', 'period': 'FullTime'}, {'1': '18.00', 'X': '8.50', '2': '1.16', 'bookmaker_name': 'MrBitRO', 'period': 'FullTime'}, {'1': '19.00', 'X': '8.70', '2': '1.17', 'bookmaker_name': 'Superbet.ro', 'period': 'FullTime'}, {'1': '17.00', 'X': '8.50', '2': '1.17', 'bookmaker_name': 'Unibetro', 'period': 'FullTime'}]"
2026-06-30 23:17:30 UTC,2018-07-07 16:00:00 UTC,https://www.oddsportal.com/football/h2h/england-j9N9ZNFA/sweden-OQyqbHWB/,Sweden,England,World Cup 2018,0,2,"(0:1, 0:1)",Samara Arena,Samara,Russia,"[{'1': '5.00', 'X': '3.30', '2': '1.81', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '4.75', 'X': '3.25', '2': '1.95', 'bookmaker_name': 'Fortuna.ro', 'period': 'FullTime'}]"
2026-06-30 23:17:38 UTC,2017-03-09 18:00:00 UTC,https://www.oddsportal.com/football/h2h/france-0j2eUlMC/uruguay-EXCPojim/,Moravske Budejovice,Decin,2. Liga - Central,4,1,"(1:1, 1:0, 2:0)",,,,[]
2026-06-30 23:17:42 UTC,2022-11-22 20:00:00 UTC,https://www.oddsportal.com/football/h2h/france-QkGeVG1n/australia-xSrf6qMM/,France,Australia,World Cup 2022,4,1,"(2:1, 2:0)",Al Janoub Stadium,Al Wakrah,Qatar,"[{'1': '1.22', 'X': '6.50', '2': '13.25', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.23', 'X': '6.40', '2': '12.50', 'bookmaker_name': 'Betano.ro', 'period': 'FullTime'}, {'1': '1.27', 'X': '6.20', '2': '12.00', 'bookmaker_name': 'Fortuna.ro', 'period': 'FullTime'}, {'1': '1.22', 'X': '7.00', '2': '15.00', 'bookmaker_name': 'Superbet.ro', 'period': 'FullTime'}, {'1': '1.22', 'X': '7.00', '2': '15.00', 'bookmaker_name': 'Unibetro', 'period': 'FullTime'}]"
2026-06-30 23:17:47 UTC,2018-06-21 17:00:00 UTC,https://www.oddsportal.com/football/h2h/france-QkGeVG1n/peru-Uend67D3/,France,Peru,World Cup 2018,1,0,"(1:0, 0:0)",Yekaterinburg Arena,Yekaterinburg,Russia,"[{'1': '1.58', 'X': '3.75', '2': '6.50', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.61', 'X': '3.90', '2': '6.35', 'bookmaker_name': 'Fortuna.ro', 'period': 'FullTime'}]"
2026-06-30 23:17:58 UTC,2018-11-20 21:00:00 UTC,https://www.oddsportal.com/football/h2h/france-QkGeVG1n/uruguay-xMk44orG/,France,Uruguay,Friendly International 2018,1,0,"(0:0, 1:0)",Stade de France,Paris - Saint-Denis,France,"[{'1': '1.73', 'X': '3.45', '2': '5.40', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.75', 'X': '3.60', '2': '5.00', 'bookmaker_name': 'Betano.ro', 'period': 'FullTime'}, {'1': '1.73', 'X': '3.55', '2': '5.00', 'bookmaker_name': 'Fortuna.ro', 'period': 'FullTime'}]"
2026-06-30 23:18:04 UTC,2023-10-18 02:00:00 UTC,https://www.oddsportal.com/football/h2h/germany-ptQide1O/mexico-O6iHcNkd/,Mexico,Germany,Friendly International 2023,2,2,"(1:1, 1:1)",Lincoln Financial Field,"Philadelphia, PA",USA,"[{'1': '4.50', 'X': '4.00', '2': '1.65', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '4.55', 'X': '4.00', '2': '1.72', 'bookmaker_name': 'Betano.ro', 'period': 'FullTime'}, {'1': '4.80', 'X': '4.30', '2': '1.67', 'bookmaker_name': 'Fortuna.ro', 'period': 'FullTime'}, {'1': '5.00', 'X': '4.20', '2': '1.62', 'bookmaker_name': 'Superbet.ro', 'period': 'FullTime'}, {'1': '4.70', 'X': '4.20', '2': '1.70', 'bookmaker_name': 'Unibetro', 'period': 'FullTime'}]"
2026-06-30 23:18:15 UTC,2018-06-27 16:00:00 UTC,https://www.oddsportal.com/football/h2h/germany-ptQide1O/south-korea-K6Gs7P6G/,South Korea,Germany,World Cup 2018,2,0,"(0:0, 2:0)",Ak Bars Arena,Kazan,Russia,"[{'1': '18.00', 'X': '8.00', '2': '1.14', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '15.50', 'X': '7.50', '2': '1.20', 'bookmaker_name': 'Fortuna.ro', 'period': 'FullTime'}]"
