scraped_date,match_date,match_link,home_team,away_team,league_name,home_score,away_score,partial_results,venue,venue_town,venue_country,1x2_market
2026-06-30 22:33:38 UTC,2018-06-27 20:00:00 UTC,https://www.oddsportal.com/football/h2h/brazil-I9l9aqLq/serbia-8Kl6iq0i/#8GnWjMZS,Serbia,Brazil,World Cup 2018,0,2,"(0:1, 0:1)",Lusail Iconic Stadium,Lusail,Qatar,"[{'1': '7.50', 'X': '4.50', '2': '1.44', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '6.70', 'X': '4.25', '2': '1.55', 'bookmaker_name': 'Fortuna.ro', 'period': 'FullTime'}]"
2026-06-30 22:33:39 UTC,2018-07-14 16:00:00 UTC,https://www.oddsportal.com/football/h2h/belgium-GbB957na/england-j9N9ZNFA/#ttPTZmYH,Belgium,England,World Cup 2018,2,0,"(1:0, 1:0)",Wembley Stadium,London,England,"[{'1': '2.14', 'X': '3.80', '2': '3.10', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '2.30', 'X': '3.60', '2': '3.05', 'bookmaker_name': 'Fortuna.ro', 'period': 'FullTime'}]"
2026-06-30 22:33:56 UTC,2018-06-25 16:00:00 UTC,https://www.oddsportal.com/football/h2h/egypt-bejDn7NN/saudi-arabia-biSY8ox4/#dv2fU7Mb,Saudi Arabia,Egypt,World Cup 2018,2,1,"(1:1, 1:0)",King Abdullah Sports City,Jeddah,Saudi Arabia,"[{'1': '5.00', 'X': '3.55', '2': '1.75', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '4.70', 'X': '3.70', '2': '1.85', 'bookmaker_name': 'Fortuna.ro', 'period': 'FullTime'}]"
2026-06-30 22:33:57 UTC,2018-06-22 20:00:00 UTC,https://www.oddsportal.com/football/h2h/serbia-8Kl6iq0i/switzerland-rHJ2vy1B/#vsrSi2KM,Serbia,Switzerland,World Cup 2018,1,2,"(1:0, 0:2)",Letzigrund Stadion,Zrich,Switzerland,"[{'1': '2.70', 'X': '2.95', '2': '2.90', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '2.85', 'X': '3.00', '2': '2.90', 'bookmaker_name': 'Fortuna.ro', 'period': 'FullTime'}]"
2026-06-30 22:33:57 UTC,2018-06-23 20:00:00 UTC,https://www.oddsportal.com/football/h2h/germany-ptQide1O/sweden-OQyqbHWB/#KfGl93kc,Germany,Sweden,World Cup 2018,2,1,"(0:1, 2:0)",Fisht Olympic Stadium,Sochi,Russia,"[{'1': '1.46', 'X': '4.40', '2': '7.00', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.57', 'X': '4.20', '2': '6.40', 'bookmaker_name': 'Fortuna.ro', 'period': 'FullTime'}]"
2026-06-30 22:34:15 UTC,2018-07-10 20:00:00 UTC,https://www.oddsportal.com/football/h2h/belgium-GbB957na/france-QkGeVG1n/#Ikzqgki4,France,Belgium,World Cup 2018,1,0,"(0:0, 1:0)",,,,"[{'1': '2.55', 'X': '3.10', '2': '2.95', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '2.57', 'X': '3.10', '2': '3.15', 'bookmaker_name': 'Fortuna.ro', 'period': 'FullTime'}]"
2026-06-30 22:34:16 UTC,2018-06-30 20:00:00 UTC,https://www.oddsportal.com/football/h2h/portugal-WvJrjFVN/uruguay-xMk44orG/#bsFuiTrl,Uruguay,Portugal,World Cup 2018,2,1,"(1:0, 1:1)",Lusail Iconic Stadium,Lusail,Qatar,"[{'1': '2.95', 'X': '2.90', '2': '2.70', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '2.90', 'X': '2.90', '2': '2.90', 'bookmaker_name': 'Fortuna.ro', 'period': 'FullTime'}]"
2026-06-30 22:34:14 UTC,2018-06-28 20:00:00 UTC,https://www.oddsportal.com/football/h2h/belgium-GbB957na/england-j9N9ZNFA/#QVTybwsd,England,Belgium,World Cup 2018,0,1,"(0:0, 0:1)",Wembley Stadium,London,England,"[{'1': '2.43', 'X': '2.80', '2': '3.55', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '2.65', 'X': '2.90', '2': '3.25', 'bookmaker_name': 'Fortuna.ro', 'period': 'FullTime'}]"
2026-06-30 22:34:34 UTC,2018-06-25 20:00:00 UTC,https://www.oddsportal.com/football/h2h/morocco-IDKYO3R8/spain-bLyo6mco/#UoksL3qo,Spain,Morocco,World Cup 2018,2,2,"(1:1, 1:1)",Education City Stadium,Al Rayyan,Qatar,"[{'1': '1.35', 'X': '4.80', '2': '9.50', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.37', 'X': '5.00', '2': '9.90', 'bookmaker_name': 'Fortuna.ro', 'period': 'FullTime'}]"
2026-06-30 22:34:34 UTC,2018-06-20 20:00:00 UTC,https://www.oddsportal.com/football/h2h/iran-xrRx85iA/spain-bLyo6mco/#A18AQPLN,Iran,Spain,World Cup 2018,0,1,"(0:0, 0:1)",Ak Bars Arena,Kazan,Russia,"[{'1': '19.00', 'X': '6.50', '2': '1.18', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '15.60', 'X': '6.50', '2': '1.23', 'bookmaker_name': 'Fortuna.ro', 'period': 'FullTime'}]"
2026-06-30 22:34:34 UTC,2018-06-19 17:00:00 UTC,https://www.oddsportal.com/football/h2h/poland-2HzmcynI/senegal-hOIsJLJr/#8fgM5k02,Poland,Senegal,World Cup 2018,1,2,"(0:1, 1:1)",Lukoil Arena,Moscow,Russia,"[{'1': '2.48', 'X': '2.95', '2': '3.20', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '2.37', 'X': '3.10', '2': '3.50', 'bookmaker_name': 'Fortuna.ro', 'period': 'FullTime'}]"
2026-06-30 22:34:52 UTC,2018-07-06 20:00:00 UTC,https://www.oddsportal.com/football/h2h/belgium-GbB957na/brazil-I9l9aqLq/#ruhUJyDI,Brazil,Belgium,World Cup 2018,1,2,"(0:2, 1:0)",Ak Bars Arena,Kazan,Russia,"[{'1': '2.10', 'X': '3.35', '2': '3.60', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '2.17', 'X': '3.45', '2': '3.60', 'bookmaker_name': 'Fortuna.ro', 'period': 'FullTime'}]"
2026-06-30 22:34:52 UTC,2018-06-23 17:00:00 UTC,https://www.oddsportal.com/football/h2h/mexico-O6iHcNkd/south-korea-K6Gs7P6G/#boFh8N43,South Korea,Mexico,World Cup 2018,1,2,"(0:1, 1:1)",Estadio Akron,Zapopan,Mexico,"[{'1': '5.60', 'X': '3.60', '2': '1.68', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '5.70', 'X': '3.60', '2': '1.73', 'bookmaker_name': 'Fortuna.ro', 'period': 'FullTime'}]"
2026-06-30 22:34:53 UTC,2018-07-01 16:00:00 UTC,https://www.oddsportal.com/football/h2h/russia-hrgrswHh/spain-bLyo6mco/#CpJqjmbf,Spain,Russia,World Cup 2018,1,2,"1:1, 0:0, 0:0, 3:4",Luzhniki Stadium,Moscow,Russia,"[{'1': '1.52', 'X': '4.20', '2': '6.50', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.60', 'X': '4.05', '2': '6.30', 'bookmaker_name': 'Fortuna.ro', 'period': 'FullTime'}]"
2026-06-30 22:35:10 UTC,2018-06-23 14:00:00 UTC,https://www.oddsportal.com/football/h2h/belgium-GbB957na/tunisia-QqZVYk95/#I5QTaaCq,Belgium,Tunisia,World Cup 2018,5,2,"(3:1, 2:1)",King Baudouin Stadium,Brussels,Belgium,"[{'1': '1.32', 'X': '4.90', '2': '11.00', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.38', 'X': '4.90', '2': '10.50', 'bookmaker_name': 'Fortuna.ro', 'period': 'FullTime'}]"
2026-06-30 22:35:11 UTC,2018-06-28 16:00:00 UTC,https://www.oddsportal.com/football/h2h/colombia-G02s4PCS/senegal-hOIsJLJr/#nqD6puUg,Senegal,Colombia,World Cup 2018,0,1,"(0:0, 0:1)",Samara Arena,Samara,Russia,"[{'1': '5.10', 'X': '3.75', '2': '1.70', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '4.50', 'X': '3.60', '2': '1.88', 'bookmaker_name': 'Fortuna.ro', 'period': 'FullTime'}]"
2026-06-30 22:35:12 UTC,2018-06-25 16:00:00 UTC,https://www.oddsportal.com/football/h2h/russia-hrgrswHh/uruguay-xMk44orG/#Im3jVm7h,Uruguay,Russia,World Cup 2018,3,0,"(2:0, 1:0)",Samara Arena,Samara,Russia,"[{'1': '2.63', 'X': '3.00', '2': '2.95', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '2.87', 'X': '3.05', '2': '2.87', 'bookmaker_name': 'Fortuna.ro', 'period': 'FullTime'}]"
2026-06-30 22:35:29 UTC,2018-06-28 16:00:00 UTC,https://www.oddsportal.com/football/h2h/japan-ULXPdOUj/poland-2HzmcynI/#8hE2oLEm,Japan,Poland,World Cup 2018,0,1,"(0:0, 0:1)",Volgograd Arena,Volgograd,Russia,"[{'1': '2.85', 'X': '3.10', '2': '2.63', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '2.80', 'X': '3.10', '2': '2.85', 'bookmaker_name': 'Fortuna.ro', 'period': 'FullTime'}]"
2026-06-30 22:35:30 UTC,2018-06-26 16:00:00 UTC,https://www.oddsportal.com/football/h2h/australia-xSrf6qMM/peru-Uend67D3/#4OTquPzH,Australia,Peru,World Cup 2018,0,2,"(0:1, 0:1)",Ahmad bin Ali Stadium,Al Rayyan,Qatar,"[{'1': '2.90', 'X': '3.45', '2': '2.38', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '2.90', 'X': '3.50', '2': '2.45', 'bookmaker_name': 'Fortuna.ro', 'period': 'FullTime'}]"
2026-06-30 22:35:31 UTC,2018-06-25 20:00:00 UTC,https://www.oddsportal.com/football/h2h/iran-xrRx85iA/portugal-WvJrjFVN/#Sx3FPqyU,Iran,Portugal,World Cup 2018,1,1,"(0:1, 1:0)",Mordovia Arena,Saransk,Russia,"[{'1': '6.10', 'X': '3.95', '2': '1.58', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '6.20', 'X': '3.70', '2': '1.67', 'bookmaker_name': 'Fortuna.ro', 'period': 'FullTime'}]"
2026-06-30 22:35:48 UTC,2018-07-11 20:00:00 UTC,https://www.oddsportal.com/football/h2h/croatia-K8aznggo/england-j9N9ZNFA/#vw29zXR1,Croatia,England,World Cup 2018,2,1,,,,,"[{'1': '3.80', 'X': '2.90', '2': '2.23', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '3.40', 'X': '3.05', '2': '2.37', 'bookmaker_name': 'Fortuna.ro', 'period': 'FullTime'}]"
2026-06-30 22:35:49 UTC,2018-06-27 16:00:00 UTC,https://www.oddsportal.com/football/h2h/germany-ptQide1O/south-korea-K6Gs7P6G/#Q7ok7sK9,South Korea,Germany,World Cup 2018,2,0,"(0:0, 2:0)",Ak Bars Arena,Kazan,Russia,"[{'1': '18.00', 'X': '8.00', '2': '1.14', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '15.50', 'X': '7.50', '2': '1.20', 'bookmaker_name': 'Fortuna.ro', 'period': 'FullTime'}]"
2026-06-30 22:35:50 UTC,2018-07-06 16:00:00 UTC,https://www.oddsportal.com/football/h2h/france-QkGeVG1n/uruguay-xMk44orG/#4v4us1ml,Uruguay,France,World Cup 2018,0,2,"(0:1, 0:1)",Stade de France,Paris - Saint-Denis,France,"[{'1': '4.60', 'X': '3.10', '2': '1.95', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '4.30', 'X': '3.10', '2': '2.10', 'bookmaker_name': 'Fortuna.ro', 'period': 'FullTime'}]"
2026-06-30 22:36:06 UTC,2018-06-22 17:00:00 UTC,https://www.oddsportal.com/football/h2h/iceland-6TsAIrGN/nigeria-EBE2Xb3l/#dM8OXtTj,Nigeria,Iceland,World Cup 2018,2,0,"(0:0, 2:0)",Volgograd Arena,Volgograd,Russia,"[{'1': '2.90', 'X': '3.00', '2': '2.65', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '2.95', 'X': '3.05', '2': '2.75', 'bookmaker_name': 'Fortuna.ro', 'period': 'FullTime'}]"
2026-06-30 22:36:08 UTC,2018-06-24 17:00:00 UTC,https://www.oddsportal.com/football/h2h/japan-ULXPdOUj/senegal-hOIsJLJr/#EidU3TUE,Japan,Senegal,World Cup 2018,2,2,"(1:1, 1:1)",Yekaterinburg Arena,Yekaterinburg,Russia,"[{'1': '3.05', 'X': '2.88', '2': '2.65', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '3.20', 'X': '3.20', '2': '2.45', 'bookmaker_name': 'Fortuna.ro', 'period': 'FullTime'}]"
2026-06-30 22:36:09 UTC,2018-07-02 16:00:00 UTC,https://www.oddsportal.com/football/h2h/brazil-I9l9aqLq/mexico-O6iHcNkd/#AgM0qBr2,Brazil,Mexico,World Cup 2018,2,0,"(0:0, 2:0)",Kyle Field,"College Station, TX",USA,"[{'1': '1.46', 'X': '4.35', '2': '7.50', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.53', 'X': '4.20', '2': '7.15', 'bookmaker_name': 'Fortuna.ro', 'period': 'FullTime'}]"
