scraped_date,match_date,match_link,home_team,away_team,league_name,home_score,away_score,partial_results,venue,venue_town,venue_country,1x2_market
2026-06-30 22:46:08 UTC,2022-11-30 20:00:00 UTC,https://www.oddsportal.com/football/h2h/argentina-f9OppQjp/poland-2HzmcynI/#nVNDXqck,Poland,Argentina,World Cup 2022,0,2,"(0:0, 0:2)",Stadium 974,Doha,Qatar,"[{'1': '8.20', 'X': '4.33', '2': '1.44', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '7.70', 'X': '4.70', '2': '1.42', 'bookmaker_name': 'Betano.ro', 'period': 'FullTime'}, {'1': '6.90', 'X': '4.60', '2': '1.50', 'bookmaker_name': 'Fortuna.ro', 'period': 'FullTime'}, {'1': '8.50', 'X': '4.40', '2': '1.45', 'bookmaker_name': 'Superbet.ro', 'period': 'FullTime'}, {'1': '8.50', 'X': '4.80', '2': '1.43', 'bookmaker_name': 'Unibetro', 'period': 'FullTime'}]"
2026-06-30 22:46:09 UTC,2022-12-09 16:00:00 UTC,https://www.oddsportal.com/football/h2h/brazil-I9l9aqLq/croatia-K8aznggo/#lGiFEPmp,Croatia,Brazil,World Cup 2022,2,1,"1:0, 2:1",Camping World Stadium,"Orlando, FL",USA,"[{'1': '8.75', 'X': '4.75', '2': '1.36', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '8.50', 'X': '4.60', '2': '1.40', 'bookmaker_name': 'Betano.ro', 'period': 'FullTime'}, {'1': '9.83', 'X': '5.15', '2': '1.42', 'bookmaker_name': 'Fortuna.ro', 'period': 'FullTime'}, {'1': '8.00', 'X': '4.75', '2': '1.42', 'bookmaker_name': 'Superbet.ro', 'period': 'FullTime'}, {'1': '9.00', 'X': '4.70', '2': '1.42', 'bookmaker_name': 'Unibetro', 'period': 'FullTime'}]"
2026-06-30 22:46:09 UTC,2022-12-05 20:00:00 UTC,https://www.oddsportal.com/football/h2h/brazil-I9l9aqLq/south-korea-K6Gs7P6G/#A7cQ5yBg,Brazil,South Korea,World Cup 2022,4,1,"(4:0, 0:1)",Seoul World Cup Stadium,Seoul,South Korea,"[{'1': '1.25', 'X': '5.75', '2': '12.25', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.24', 'X': '6.70', '2': '10.75', 'bookmaker_name': 'Betano.ro', 'period': 'FullTime'}, {'1': '1.28', 'X': '5.90', '2': '13.00', 'bookmaker_name': 'Fortuna.ro', 'period': 'FullTime'}, {'1': '1.22', 'X': '6.50', '2': '15.00', 'bookmaker_name': 'Superbet.ro', 'period': 'FullTime'}, {'1': '1.23', 'X': '6.75', '2': '15.00', 'bookmaker_name': 'Unibetro', 'period': 'FullTime'}]"
2026-06-30 22:46:27 UTC,2022-12-17 16:00:00 UTC,https://www.oddsportal.com/football/h2h/croatia-K8aznggo/morocco-IDKYO3R8/#U7jo7z91,Croatia,Morocco,World Cup 2022,2,1,"(2:1, 0:0)",Khalifa International Stadium,Al Rayyan,Qatar,"[{'1': '2.20', 'X': '3.50', '2': '3.15', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '2.25', 'X': '3.55', '2': '3.10', 'bookmaker_name': 'Betano.ro', 'period': 'FullTime'}, {'1': '2.45', 'X': '3.55', '2': '3.22', 'bookmaker_name': 'Fortuna.ro', 'period': 'FullTime'}, {'1': '2.25', 'X': '3.60', '2': '3.20', 'bookmaker_name': 'Superbet.ro', 'period': 'FullTime'}, {'1': '2.28', 'X': '3.65', '2': '3.20', 'bookmaker_name': 'Unibetro', 'period': 'FullTime'}]"
2026-06-30 22:46:28 UTC,2022-12-02 20:00:00 UTC,https://www.oddsportal.com/football/h2h/serbia-8Kl6iq0i/switzerland-rHJ2vy1B/#drCYctBf,Serbia,Switzerland,World Cup 2022,2,3,"(2:2, 0:1)",Letzigrund Stadion,Zrich,Switzerland,"[{'1': '2.50', 'X': '3.35', '2': '2.80', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '2.55', 'X': '3.30', '2': '2.82', 'bookmaker_name': 'Betano.ro', 'period': 'FullTime'}, {'1': '2.70', 'X': '3.50', '2': '2.90', 'bookmaker_name': 'Fortuna.ro', 'period': 'FullTime'}, {'1': '2.55', 'X': '3.30', '2': '2.90', 'bookmaker_name': 'Superbet.ro', 'period': 'FullTime'}, {'1': '2.55', 'X': '3.45', '2': '2.95', 'bookmaker_name': 'Unibetro', 'period': 'FullTime'}]"
2026-06-30 22:46:27 UTC,2022-11-30 16:00:00 UTC,https://www.oddsportal.com/football/h2h/australia-xSrf6qMM/denmark-0KUdxQVi/#xMN9a6FL,Australia,Denmark,World Cup 2022,1,0,"(0:0, 1:0)",Al Janoub Stadium,Al Wakrah,Qatar,"[{'1': '7.75', 'X': '4.70', '2': '1.40', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '6.90', 'X': '4.90', '2': '1.42', 'bookmaker_name': 'Betano.ro', 'period': 'FullTime'}, {'1': '7.25', 'X': '5.00', '2': '1.50', 'bookmaker_name': 'Fortuna.ro', 'period': 'FullTime'}, {'1': '8.00', 'X': '4.75', '2': '1.42', 'bookmaker_name': 'Superbet.ro', 'period': 'FullTime'}, {'1': '8.50', 'X': '4.75', '2': '1.43', 'bookmaker_name': 'Unibetro', 'period': 'FullTime'}]"
2026-06-30 22:46:47 UTC,2022-11-28 17:00:00 UTC,https://www.oddsportal.com/football/h2h/brazil-I9l9aqLq/switzerland-rHJ2vy1B/#ryWc4rYQ,Brazil,Switzerland,World Cup 2022,1,0,"(0:0, 1:0)",Stadium 974,Doha,Qatar,"[{'1': '1.44', 'X': '4.30', '2': '7.75', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.50', 'X': '4.30', '2': '6.80', 'bookmaker_name': 'Betano.ro', 'period': 'FullTime'}, {'1': '1.50', 'X': '4.45', '2': '7.20', 'bookmaker_name': 'Fortuna.ro', 'period': 'FullTime'}, {'1': '1.50', 'X': '4.40', '2': '7.50', 'bookmaker_name': 'Superbet.ro', 'period': 'FullTime'}, {'1': '1.49', 'X': '4.30', '2': '8.50', 'bookmaker_name': 'Unibetro', 'period': 'FullTime'}]"
2026-06-30 22:46:47 UTC,2022-11-25 17:00:00 UTC,https://www.oddsportal.com/football/h2h/ecuador-8tbm8Tri/netherlands-WYintcWb/#Qaq9ipXN,Netherlands,Ecuador,World Cup 2022,1,1,"(1:0, 0:1)",Philips Stadion,Eindhoven,Netherlands,"[{'1': '1.83', 'X': '3.40', '2': '4.70', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.80', 'X': '3.40', '2': '4.90', 'bookmaker_name': 'Betano.ro', 'period': 'FullTime'}, {'1': '1.85', 'X': '3.50', '2': '4.90', 'bookmaker_name': 'Fortuna.ro', 'period': 'FullTime'}, {'1': '1.85', 'X': '3.40', '2': '4.75', 'bookmaker_name': 'Superbet.ro', 'period': 'FullTime'}, {'1': '1.86', 'X': '3.50', '2': '4.90', 'bookmaker_name': 'Unibetro', 'period': 'FullTime'}]"
2026-06-30 22:46:47 UTC,2022-11-24 20:00:00 UTC,https://www.oddsportal.com/football/h2h/brazil-I9l9aqLq/serbia-8Kl6iq0i/#zBSk643E,Brazil,Serbia,World Cup 2022,2,0,"(0:0, 2:0)",Lusail Iconic Stadium,Lusail,Qatar,"[{'1': '1.40', 'X': '4.60', '2': '7.50', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.45', 'X': '4.70', '2': '6.80', 'bookmaker_name': 'Betano.ro', 'period': 'FullTime'}, {'1': '1.47', 'X': '4.90', '2': '8.60', 'bookmaker_name': 'Fortuna.ro', 'period': 'FullTime'}, {'1': '1.45', 'X': '4.75', '2': '7.00', 'bookmaker_name': 'Superbet.ro', 'period': 'FullTime'}, {'1': '1.50', 'X': '4.60', '2': '7.00', 'bookmaker_name': 'Unibetro', 'period': 'FullTime'}]"
2026-06-30 22:47:07 UTC,2022-12-10 20:00:00 UTC,https://www.oddsportal.com/football/h2h/england-j9N9ZNFA/france-QkGeVG1n/#2g49AZK4,England,France,World Cup 2022,1,2,"(0:1, 1:1)",Al Bayt Stadium,Al Khor,Qatar,"[{'1': '2.95', 'X': '3.10', '2': '2.55', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '2.77', 'X': '3.15', '2': '2.72', 'bookmaker_name': 'Betano.ro', 'period': 'FullTime'}, {'1': '2.97', 'X': '3.20', '2': '2.85', 'bookmaker_name': 'Fortuna.ro', 'period': 'FullTime'}, {'1': '2.80', 'X': '3.10', '2': '2.80', 'bookmaker_name': 'Superbet.ro', 'period': 'FullTime'}, {'1': '3.00', 'X': '3.15', '2': '2.65', 'bookmaker_name': 'Unibetro', 'period': 'FullTime'}]"
