scraped_date,match_date,match_link,home_team,away_team,league_name,home_score,away_score,partial_results,venue,venue_town,venue_country,1x2_market
2026-06-30 23:21:17 UTC,2023-06-15 14:00:00 UTC,https://www.oddsportal.com/football/h2h/argentina-f9OppQjp/australia-xSrf6qMM/,Argentina,Australia,Friendly International 2023,2,0,"(1:0, 1:0)",Workers' Stadium,Beijing,China,"[{'1': '1.18', 'X': '7.50', '2': '11.00', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.25', 'X': '6.30', '2': '11.25', 'bookmaker_name': 'Betano.ro', 'period': 'FullTime'}, {'1': '1.23', 'X': '6.80', '2': '11.00', 'bookmaker_name': 'Fortuna.ro', 'period': 'FullTime'}, {'1': '1.25', 'X': '6.50', '2': '11.00', 'bookmaker_name': 'Superbet.ro', 'period': 'FullTime'}, {'1': '1.25', 'X': '7.00', '2': '10.50', 'bookmaker_name': 'Unibetro', 'period': 'FullTime'}]"
2026-06-30 23:21:19 UTC,2022-12-13 20:00:00 UTC,https://www.oddsportal.com/football/h2h/argentina-f9OppQjp/croatia-K8aznggo/,Argentina,Croatia,World Cup 2022,3,0,"(2:0, 1:0)",Lusail Iconic Stadium,Lusail,Qatar,"[{'1': '1.85', 'X': '3.25', '2': '4.70', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.98', 'X': '3.15', '2': '4.40', 'bookmaker_name': 'Betano.ro', 'period': 'FullTime'}, {'1': '2.05', 'X': '3.30', '2': '4.75', 'bookmaker_name': 'Fortuna.ro', 'period': 'FullTime'}, {'1': '2.05', 'X': '3.20', '2': '4.40', 'bookmaker_name': 'Superbet.ro', 'period': 'FullTime'}, {'1': '2.06', 'X': '3.05', '2': '4.70', 'bookmaker_name': 'Unibetro', 'period': 'FullTime'}]"
2026-06-30 23:21:18 UTC,2022-12-18 16:00:00 UTC,https://www.oddsportal.com/football/h2h/argentina-f9OppQjp/france-QkGeVG1n/,Argentina,France,World Cup 2022,4,3,"2:0, 0:2, 1:1, 4:2",Lusail Iconic Stadium,Lusail,Qatar,"[{'1': '2.63', 'X': '3.15', '2': '2.85', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '2.77', 'X': '2.95', '2': '2.85', 'bookmaker_name': 'Betano.ro', 'period': 'FullTime'}, {'1': '2.85', 'X': '3.20', '2': '2.95', 'bookmaker_name': 'Fortuna.ro', 'period': 'FullTime'}, {'1': '2.75', 'X': '3.10', '2': '2.90', 'bookmaker_name': 'Superbet.ro', 'period': 'FullTime'}, {'1': '2.75', 'X': '3.20', '2': '2.85', 'bookmaker_name': 'Unibetro', 'period': 'FullTime'}]"
2026-06-30 23:21:34 UTC,2022-11-26 20:00:00 UTC,https://www.oddsportal.com/football/h2h/argentina-f9OppQjp/mexico-O6iHcNkd/,Argentina,Mexico,World Cup 2022,2,0,"(0:0, 2:0)",Lusail Iconic Stadium,Lusail,Qatar,"[{'1': '1.45', 'X': '4.00', '2': '7.75', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.52', 'X': '4.20', '2': '6.50', 'bookmaker_name': 'Betano.ro', 'period': 'FullTime'}, {'1': '1.53', 'X': '4.05', '2': '7.70', 'bookmaker_name': 'Fortuna.ro', 'period': 'FullTime'}, {'1': '1.55', 'X': '3.90', '2': '7.00', 'bookmaker_name': 'Superbet.ro', 'period': 'FullTime'}, {'1': '1.57', 'X': '3.95', '2': '7.50', 'bookmaker_name': 'Unibetro', 'period': 'FullTime'}]"
2026-06-30 23:21:35 UTC,2022-12-09 20:00:00 UTC,https://www.oddsportal.com/football/h2h/argentina-f9OppQjp/netherlands-WYintcWb/,Netherlands,Argentina,World Cup 2022,2,3,"0:1, 2:1, 0:0, 3:4",Lusail Iconic Stadium,Lusail,Qatar,"[{'1': '3.60', 'X': '3.15', '2': '2.20', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '3.60', 'X': '3.10', '2': '2.22', 'bookmaker_name': 'Betano.ro', 'period': 'FullTime'}, {'1': '4.02', 'X': '3.25', '2': '2.25', 'bookmaker_name': 'Fortuna.ro', 'period': 'FullTime'}, {'1': '3.75', 'X': '3.10', '2': '2.25', 'bookmaker_name': 'Superbet.ro', 'period': 'FullTime'}, {'1': '3.80', 'X': '3.15', '2': '2.23', 'bookmaker_name': 'Unibetro', 'period': 'FullTime'}]"
2026-06-30 23:21:35 UTC,2022-11-30 20:00:00 UTC,https://www.oddsportal.com/football/h2h/argentina-f9OppQjp/poland-2HzmcynI/,Poland,Argentina,World Cup 2022,0,2,"(0:0, 0:2)",Stadium 974,Doha,Qatar,"[{'1': '8.20', 'X': '4.33', '2': '1.44', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '7.70', 'X': '4.70', '2': '1.42', 'bookmaker_name': 'Betano.ro', 'period': 'FullTime'}, {'1': '6.90', 'X': '4.60', '2': '1.50', 'bookmaker_name': 'Fortuna.ro', 'period': 'FullTime'}, {'1': '8.50', 'X': '4.40', '2': '1.45', 'bookmaker_name': 'Superbet.ro', 'period': 'FullTime'}, {'1': '8.50', 'X': '4.80', '2': '1.43', 'bookmaker_name': 'Unibetro', 'period': 'FullTime'}]"
2026-06-30 23:21:51 UTC,2022-11-22 11:00:00 UTC,https://www.oddsportal.com/football/h2h/argentina-f9OppQjp/saudi-arabia-biSY8ox4/,Argentina,Saudi Arabia,World Cup 2022,1,2,"(1:0, 0:2)",Lusail Iconic Stadium,Lusail,Qatar,"[{'1': '1.10', 'X': '9.50', '2': '29.50', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.13', 'X': '9.00', '2': '20.00', 'bookmaker_name': 'Betano.ro', 'period': 'FullTime'}, {'1': '1.13', 'X': '9.00', '2': '29.00', 'bookmaker_name': 'Fortuna.ro', 'period': 'FullTime'}, {'1': '1.14', 'X': '8.50', '2': '25.00', 'bookmaker_name': 'Superbet.ro', 'period': 'FullTime'}, {'1': '1.14', 'X': '9.00', '2': '26.00', 'bookmaker_name': 'Unibetro', 'period': 'FullTime'}]"
2026-06-30 23:21:50 UTC,2022-11-30 16:00:00 UTC,https://www.oddsportal.com/football/h2h/australia-xSrf6qMM/denmark-0KUdxQVi/,Australia,Denmark,World Cup 2022,1,0,"(0:0, 1:0)",Al Janoub Stadium,Al Wakrah,Qatar,"[{'1': '7.75', 'X': '4.70', '2': '1.40', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '6.90', 'X': '4.90', '2': '1.42', 'bookmaker_name': 'Betano.ro', 'period': 'FullTime'}, {'1': '7.25', 'X': '5.00', '2': '1.50', 'bookmaker_name': 'Fortuna.ro', 'period': 'FullTime'}, {'1': '8.00', 'X': '4.75', '2': '1.42', 'bookmaker_name': 'Superbet.ro', 'period': 'FullTime'}, {'1': '8.50', 'X': '4.75', '2': '1.43', 'bookmaker_name': 'Unibetro', 'period': 'FullTime'}]"
2026-06-30 23:21:52 UTC,2022-11-26 11:00:00 UTC,https://www.oddsportal.com/football/h2h/australia-xSrf6qMM/tunisia-QqZVYk95/,Tunisia,Australia,World Cup 2022,0,1,"(0:1, 0:0)",Al Janoub Stadium,Al Wakrah,Qatar,"[{'1': '2.15', 'X': '3.40', '2': '3.55', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '2.18', 'X': '3.35', '2': '3.45', 'bookmaker_name': 'Betano.ro', 'period': 'FullTime'}, {'1': '2.23', 'X': '3.25', '2': '3.65', 'bookmaker_name': 'Fortuna.ro', 'period': 'FullTime'}, {'1': '2.20', 'X': '3.20', '2': '3.70', 'bookmaker_name': 'Superbet.ro', 'period': 'FullTime'}, {'1': '2.23', 'X': '3.35', '2': '3.60', 'bookmaker_name': 'Unibetro', 'period': 'FullTime'}]"
2026-06-30 23:22:07 UTC,2022-11-23 20:00:00 UTC,https://www.oddsportal.com/football/h2h/belgium-GbB957na/canada-x4toKORL/,Belgium,Canada,World Cup 2022,1,0,"(1:0, 0:0)",Ahmad bin Ali Stadium,Al Rayyan,Qatar,"[{'1': '1.53', 'X': '4.25', '2': '6.00', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.55', 'X': '4.40', '2': '5.50', 'bookmaker_name': 'Betano.ro', 'period': 'FullTime'}, {'1': '1.55', 'X': '4.40', '2': '6.30', 'bookmaker_name': 'Fortuna.ro', 'period': 'FullTime'}, {'1': '1.60', 'X': '4.20', '2': '5.50', 'bookmaker_name': 'Superbet.ro', 'period': 'FullTime'}, {'1': '1.52', 'X': '4.70', '2': '6.75', 'bookmaker_name': 'Unibetro', 'period': 'FullTime'}]"
2026-06-30 23:22:07 UTC,2026-06-02 18:00:00 UTC,https://www.oddsportal.com/football/h2h/belgium-GbB957na/croatia-K8aznggo/,Croatia,Belgium,Friendly International,0,2,"(0:1, 0:1)",Stadion HNK Rijeka,Rijeka,Croatia,"[{'1': '2.63', 'X': '3.10', '2': '2.50', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '2.65', 'X': '3.45', '2': '2.62', 'bookmaker_name': 'Betano.ro', 'period': 'FullTime'}, {'1': '2.59', 'X': '3.20', '2': '2.69', 'bookmaker_name': 'Fortuna.ro', 'period': 'FullTime'}, {'1': '2.77', 'X': '3.50', '2': '2.70', 'bookmaker_name': 'Getsbet', 'period': 'FullTime'}, {'1': '2.75', 'X': '3.40', '2': '2.50', 'bookmaker_name': 'MrBitRO', 'period': 'FullTime'}, {'1': '2.80', 'X': '3.45', '2': '2.62', 'bookmaker_name': 'Superbet.ro', 'period': 'FullTime'}, {'1': '2.60', 'X': '3.30', '2': '2.60', 'bookmaker_name': 'Unibetro', 'period': 'FullTime'}]"
2026-06-30 23:22:08 UTC,2022-11-27 14:00:00 UTC,https://www.oddsportal.com/football/h2h/belgium-GbB957na/morocco-IDKYO3R8/,Belgium,Morocco,World Cup 2022,0,2,"(0:0, 0:2)",Al Thumama Stadium,Doha,Qatar,"[{'1': '1.85', 'X': '3.35', '2': '4.50', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.87', 'X': '3.40', '2': '4.45', 'bookmaker_name': 'Betano.ro', 'period': 'FullTime'}, {'1': '1.90', 'X': '3.50', '2': '4.55', 'bookmaker_name': 'Fortuna.ro', 'period': 'FullTime'}, {'1': '1.90', 'X': '3.40', '2': '4.60', 'bookmaker_name': 'Superbet.ro', 'period': 'FullTime'}, {'1': '1.88', 'X': '3.50', '2': '4.80', 'bookmaker_name': 'Unibetro', 'period': 'FullTime'}]"
2026-06-30 23:22:24 UTC,2022-12-02 20:00:00 UTC,https://www.oddsportal.com/football/h2h/brazil-I9l9aqLq/cameroon-zk1uVG2D/,Cameroon,Brazil,World Cup 2022,1,0,"(0:0, 1:0)",Lusail Iconic Stadium,Lusail,Qatar,"[{'1': '8.50', 'X': '4.90', '2': '1.36', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '8.25', 'X': '5.50', '2': '1.34', 'bookmaker_name': 'Betano.ro', 'period': 'FullTime'}, {'1': '7.60', 'X': '5.40', '2': '1.40', 'bookmaker_name': 'Fortuna.ro', 'period': 'FullTime'}, {'1': '9.00', 'X': '5.25', '2': '1.35', 'bookmaker_name': 'Superbet.ro', 'period': 'FullTime'}, {'1': '9.50', 'X': '5.40', '2': '1.36', 'bookmaker_name': 'Unibetro', 'period': 'FullTime'}]"
2026-06-30 23:22:24 UTC,2026-04-01 02:00:00 UTC,https://www.oddsportal.com/football/h2h/brazil-I9l9aqLq/croatia-K8aznggo/,Brazil,Croatia,Friendly International,3,1,"(1:0, 2:1)",Camping World Stadium,"Orlando, FL",USA,"[{'1': '1.75', 'X': '3.70', '2': '4.00', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.80', 'X': '3.95', '2': '4.15', 'bookmaker_name': 'Betano.ro', 'period': 'FullTime'}, {'1': '1.79', 'X': '3.95', '2': '4.15', 'bookmaker_name': 'Fortuna.ro', 'period': 'FullTime'}, {'1': '1.83', 'X': '3.80', '2': '4.00', 'bookmaker_name': 'Getsbet', 'period': 'FullTime'}, {'1': '1.81', 'X': '4.00', '2': '3.80', 'bookmaker_name': 'MrBitRO', 'period': 'FullTime'}, {'1': '1.78', 'X': '3.85', '2': '4.35', 'bookmaker_name': 'Superbet.ro', 'period': 'FullTime'}, {'1': '1.75', 'X': '3.80', '2': '4.00', 'bookmaker_name': 'Unibetro', 'period': 'FullTime'}]"
2026-06-30 23:22:24 UTC,2022-11-24 20:00:00 UTC,https://www.oddsportal.com/football/h2h/brazil-I9l9aqLq/serbia-8Kl6iq0i/,Brazil,Serbia,World Cup 2022,2,0,"(0:0, 2:0)",Lusail Iconic Stadium,Lusail,Qatar,"[{'1': '1.40', 'X': '4.60', '2': '7.50', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.45', 'X': '4.70', '2': '6.80', 'bookmaker_name': 'Betano.ro', 'period': 'FullTime'}, {'1': '1.47', 'X': '4.90', '2': '8.60', 'bookmaker_name': 'Fortuna.ro', 'period': 'FullTime'}, {'1': '1.45', 'X': '4.75', '2': '7.00', 'bookmaker_name': 'Superbet.ro', 'period': 'FullTime'}, {'1': '1.50', 'X': '4.60', '2': '7.00', 'bookmaker_name': 'Unibetro', 'period': 'FullTime'}]"
2026-06-30 23:22:40 UTC,2025-10-10 13:00:00 UTC,https://www.oddsportal.com/football/h2h/brazil-I9l9aqLq/south-korea-K6Gs7P6G/,South Korea,Brazil,Friendly International 2025,0,5,"(0:2, 0:3)",Seoul World Cup Stadium,Seoul,South Korea,"[{'1': '6.30', 'X': '4.65', '2': '1.47', 'bookmaker_name': 'Betano.ro', 'period': 'FullTime'}, {'1': '5.80', 'X': '4.50', '2': '1.46', 'bookmaker_name': 'Fortuna.ro', 'period': 'FullTime'}, {'1': '6.00', 'X': '4.75', '2': '1.43', 'bookmaker_name': 'Getsbet', 'period': 'FullTime'}, {'1': '6.66', 'X': '5.00', '2': '1.40', 'bookmaker_name': 'MrBitRO', 'period': 'FullTime'}, {'1': '6.00', 'X': '4.90', '2': '1.43', 'bookmaker_name': 'Superbet.ro', 'period': 'FullTime'}, {'1': '6.00', 'X': '4.60', '2': '1.42', 'bookmaker_name': 'Unibetro', 'period': 'FullTime'}]"
2026-06-30 23:22:41 UTC,2022-11-28 17:00:00 UTC,https://www.oddsportal.com/football/h2h/brazil-I9l9aqLq/switzerland-rHJ2vy1B/,Brazil,Switzerland,World Cup 2022,1,0,"(0:0, 1:0)",Stadium 974,Doha,Qatar,"[{'1': '1.44', 'X': '4.30', '2': '7.75', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.50', 'X': '4.30', '2': '6.80', 'bookmaker_name': 'Betano.ro', 'period': 'FullTime'}, {'1': '1.50', 'X': '4.45', '2': '7.20', 'bookmaker_name': 'Fortuna.ro', 'period': 'FullTime'}, {'1': '1.50', 'X': '4.40', '2': '7.50', 'bookmaker_name': 'Superbet.ro', 'period': 'FullTime'}, {'1': '1.49', 'X': '4.30', '2': '8.50', 'bookmaker_name': 'Unibetro', 'period': 'FullTime'}]"
2026-06-30 23:22:41 UTC,2022-11-28 11:00:00 UTC,https://www.oddsportal.com/football/h2h/cameroon-zk1uVG2D/serbia-8Kl6iq0i/,Cameroon,Serbia,World Cup 2022,3,3,"(1:2, 2:1)",Al Janoub Stadium,Al Wakrah,Qatar,"[{'1': '5.30', 'X': '3.80', '2': '1.70', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '5.20', 'X': '3.70', '2': '1.70', 'bookmaker_name': 'Betano.ro', 'period': 'FullTime'}, {'1': '5.50', 'X': '3.70', '2': '1.73', 'bookmaker_name': 'Fortuna.ro', 'period': 'FullTime'}, {'1': '5.25', 'X': '3.80', '2': '1.70', 'bookmaker_name': 'Superbet.ro', 'period': 'FullTime'}, {'1': '5.75', 'X': '3.80', '2': '1.70', 'bookmaker_name': 'Unibetro', 'period': 'FullTime'}]"
2026-06-30 23:22:58 UTC,2022-11-27 17:00:00 UTC,https://www.oddsportal.com/football/h2h/canada-x4toKORL/croatia-K8aznggo/,Croatia,Canada,World Cup 2022,4,1,"(2:1, 2:0)",Khalifa International Stadium,Al Rayyan,Qatar,"[{'1': '2.20', 'X': '3.20', '2': '3.45', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '2.22', 'X': '3.25', '2': '3.40', 'bookmaker_name': 'Betano.ro', 'period': 'FullTime'}, {'1': '2.33', 'X': '3.45', '2': '3.55', 'bookmaker_name': 'Fortuna.ro', 'period': 'FullTime'}, {'1': '2.25', 'X': '3.10', '2': '3.70', 'bookmaker_name': 'Superbet.ro', 'period': 'FullTime'}, {'1': '2.18', 'X': '3.35', '2': '3.70', 'bookmaker_name': 'Unibetro', 'period': 'FullTime'}]"
2026-06-30 23:22:57 UTC,2026-07-04 19:00:00 UTC,https://www.oddsportal.com/football/h2h/canada-x4toKORL/morocco-IDKYO3R8/,Canada,Morocco,World Championship 2026,,,,NRG Stadium,"Houston, TX",USA,"[{'1': '4.40', 'X': '3.30', '2': '1.80', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '4.90', 'X': '3.55', '2': '1.85', 'bookmaker_name': 'Betano.ro', 'period': 'FullTime'}, {'1': '4.70', 'X': '3.50', '2': '1.85', 'bookmaker_name': 'Fortuna.ro', 'period': 'FullTime'}, {'1': '4.75', 'X': '3.40', '2': '1.82', 'bookmaker_name': 'Getsbet', 'period': 'FullTime'}, {'1': '5.00', 'X': '3.40', '2': '1.86', 'bookmaker_name': 'MrBitRO', 'period': 'FullTime'}, {'1': '4.85', 'X': '3.45', '2': '1.82', 'bookmaker_name': 'Superbet.ro', 'period': 'FullTime'}]"
2026-06-30 23:22:58 UTC,2022-12-01 20:00:00 UTC,https://www.oddsportal.com/football/h2h/costa-rica-C4ePE2kq/germany-ptQide1O/,Costa Rica,Germany,World Cup 2022,2,4,"(0:1, 2:3)",Al Bayt Stadium,Al Khor,Qatar,"[{'1': '25.00', 'X': '10.50', '2': '1.08', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '24.00', 'X': '12.00', '2': '1.08', 'bookmaker_name': 'Betano.ro', 'period': 'FullTime'}, {'1': '21.00', 'X': '11.00', '2': '1.12', 'bookmaker_name': 'Fortuna.ro', 'period': 'FullTime'}, {'1': '28.00', 'X': '11.00', '2': '1.10', 'bookmaker_name': 'Superbet.ro', 'period': 'FullTime'}, {'1': '31.00', 'X': '12.00', '2': '1.10', 'bookmaker_name': 'Unibetro', 'period': 'FullTime'}]"
2026-06-30 23:23:14 UTC,2022-11-27 11:00:00 UTC,https://www.oddsportal.com/football/h2h/costa-rica-C4ePE2kq/japan-ULXPdOUj/,Japan,Costa Rica,World Cup 2022,0,1,"(0:0, 0:1)",Ahmad bin Ali Stadium,Al Rayyan,Qatar,"[{'1': '1.50', 'X': '4.00', '2': '7.75', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.45', 'X': '4.25', '2': '7.90', 'bookmaker_name': 'Betano.ro', 'period': 'FullTime'}, {'1': '1.48', 'X': '4.35', '2': '8.00', 'bookmaker_name': 'Fortuna.ro', 'period': 'FullTime'}, {'1': '1.47', 'X': '4.40', '2': '7.50', 'bookmaker_name': 'Superbet.ro', 'period': 'FullTime'}, {'1': '1.47', 'X': '4.50', '2': '8.00', 'bookmaker_name': 'Unibetro', 'period': 'FullTime'}]"
2026-06-30 23:23:14 UTC,2022-12-05 16:00:00 UTC,https://www.oddsportal.com/football/h2h/croatia-K8aznggo/japan-ULXPdOUj/,Japan,Croatia,World Cup 2022,1,2,"1:0, 0:1, 0:0, 1:3",Al Janoub Stadium,Al Wakrah,Qatar,"[{'1': '3.85', 'X': '3.25', '2': '2.05', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '3.75', 'X': '3.30', '2': '2.07', 'bookmaker_name': 'Betano.ro', 'period': 'FullTime'}, {'1': '4.10', 'X': '3.40', '2': '2.15', 'bookmaker_name': 'Fortuna.ro', 'period': 'FullTime'}, {'1': '3.80', 'X': '3.30', '2': '2.10', 'bookmaker_name': 'Superbet.ro', 'period': 'FullTime'}, {'1': '3.90', 'X': '3.30', '2': '2.15', 'bookmaker_name': 'Unibetro', 'period': 'FullTime'}]"
2026-06-30 23:23:14 UTC,2022-12-17 16:00:00 UTC,https://www.oddsportal.com/football/h2h/croatia-K8aznggo/morocco-IDKYO3R8/,Croatia,Morocco,World Cup 2022,2,1,"(2:1, 0:0)",Khalifa International Stadium,Al Rayyan,Qatar,"[{'1': '2.20', 'X': '3.50', '2': '3.15', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '2.25', 'X': '3.55', '2': '3.10', 'bookmaker_name': 'Betano.ro', 'period': 'FullTime'}, {'1': '2.45', 'X': '3.55', '2': '3.22', 'bookmaker_name': 'Fortuna.ro', 'period': 'FullTime'}, {'1': '2.25', 'X': '3.60', '2': '3.20', 'bookmaker_name': 'Superbet.ro', 'period': 'FullTime'}, {'1': '2.28', 'X': '3.65', '2': '3.20', 'bookmaker_name': 'Unibetro', 'period': 'FullTime'}]"
2026-06-30 23:23:31 UTC,2022-11-26 17:00:00 UTC,https://www.oddsportal.com/football/h2h/denmark-0KUdxQVi/france-QkGeVG1n/,France,Denmark,World Cup 2022,2,1,"(0:0, 2:1)",Stadium 974,Doha,Qatar,"[{'1': '1.80', 'X': '3.45', '2': '4.70', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.75', 'X': '3.55', '2': '5.00', 'bookmaker_name': 'Betano.ro', 'period': 'FullTime'}, {'1': '1.85', 'X': '3.75', '2': '5.10', 'bookmaker_name': 'Fortuna.ro', 'period': 'FullTime'}, {'1': '1.85', 'X': '3.50', '2': '4.75', 'bookmaker_name': 'Superbet.ro', 'period': 'FullTime'}, {'1': '1.85', 'X': '3.55', '2': '4.90', 'bookmaker_name': 'Unibetro', 'period': 'FullTime'}]"
2026-06-30 23:23:31 UTC,2022-11-22 14:00:00 UTC,https://www.oddsportal.com/football/h2h/denmark-0KUdxQVi/tunisia-QqZVYk95/,Denmark,Tunisia,World Cup 2022,0,0,"(0:0, 0:0)",Education City Stadium,Al Rayyan,Qatar,"[{'1': '1.60', 'X': '3.75', '2': '6.30', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.60', 'X': '3.75', '2': '6.20', 'bookmaker_name': 'Betano.ro', 'period': 'FullTime'}, {'1': '1.62', 'X': '3.80', '2': '6.65', 'bookmaker_name': 'Fortuna.ro', 'period': 'FullTime'}, {'1': '1.60', 'X': '3.90', '2': '6.00', 'bookmaker_name': 'Superbet.ro', 'period': 'FullTime'}, {'1': '1.58', 'X': '3.90', '2': '7.50', 'bookmaker_name': 'Unibetro', 'period': 'FullTime'}]"
2026-06-30 23:23:31 UTC,2026-03-31 20:45:00 UTC,https://www.oddsportal.com/football/h2h/ecuador-8tbm8Tri/netherlands-WYintcWb/,Netherlands,Ecuador,Friendly International,1,1,"(1:1, 0:0)",Philips Stadion,Eindhoven,Netherlands,"[{'1': '1.53', 'X': '3.90', '2': '5.00', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.60', 'X': '3.95', '2': '5.90', 'bookmaker_name': 'Betano.ro', 'period': 'FullTime'}, {'1': '1.56', 'X': '4.00', '2': '5.50', 'bookmaker_name': 'Fortuna.ro', 'period': 'FullTime'}, {'1': '1.63', 'X': '4.33', '2': '6.00', 'bookmaker_name': 'Getsbet', 'period': 'FullTime'}, {'1': '1.57', 'X': '3.80', '2': '6.00', 'bookmaker_name': 'MrBitRO', 'period': 'FullTime'}, {'1': '1.60', 'X': '3.85', '2': '5.90', 'bookmaker_name': 'Superbet.ro', 'period': 'FullTime'}, {'1': '1.55', 'X': '4.00', '2': '5.75', 'bookmaker_name': 'Unibetro', 'period': 'FullTime'}]"
