tournament,home,away,date,p_home,p_draw,p_away,actual
WC2010,Brazil,North Korea,2010-06-15,0.77623844,0.15899854,0.06476302,home
WC2010,Ivory Coast,Portugal,2010-06-15,0.22851965,0.23327991,0.53820044,draw
WC2010,New Zealand,Slovakia,2010-06-15,0.17692092,0.19619983,0.62687926,draw
WC2010,Honduras,Chile,2010-06-16,0.20621700,0.23142580,0.56235720,away
WC2010,South Africa,Uruguay,2010-06-16,0.20612046,0.21201542,0.58186412,away
WC2010,Spain,Switzerland,2010-06-16,0.71364514,0.17866898,0.10768589,away
WC2010,Argentina,South Korea,2010-06-17,0.64155346,0.20634004,0.15210650,home
WC2010,France,Mexico,2010-06-17,0.53772980,0.24166307,0.22060714,away
WC2010,Greece,Nigeria,2010-06-17,0.28887920,0.26212612,0.44899468,home
WC2010,England,Algeria,2010-06-18,0.79991680,0.13596290,0.06412030,draw
WC2010,Germany,Serbia,2010-06-18,0.51049857,0.23275328,0.25674816,away
WC2010,Slovenia,United States,2010-06-18,0.27733769,0.23879288,0.48386943,draw
WC2010,Cameroon,Denmark,2010-06-19,0.30756386,0.25097547,0.44146067,away
WC2010,Ghana,Australia,2010-06-19,0.31269501,0.26016037,0.42714462,draw
WC2010,Netherlands,Japan,2010-06-19,0.63976076,0.21484737,0.14539187,home
WC2010,Brazil,Ivory Coast,2010-06-20,0.67199378,0.18617685,0.14182937,home
WC2010,Italy,New Zealand,2010-06-20,0.79353642,0.13849252,0.06797107,draw
WC2010,Slovakia,Paraguay,2010-06-20,0.31820551,0.24570380,0.43609069,away
WC2010,Chile,Switzerland,2010-06-21,0.48103181,0.24950865,0.26945954,home
WC2010,Portugal,North Korea,2010-06-21,0.65277850,0.22789756,0.11932394,home
WC2010,Spain,Honduras,2010-06-21,0.77991671,0.14536673,0.07471655,home
WC2010,Greece,Argentina,2010-06-22,0.13388177,0.19302612,0.67309211,away
WC2010,Mexico,Uruguay,2010-06-22,0.30458836,0.23247364,0.46293800,away
WC2010,Nigeria,South Korea,2010-06-22,0.44946931,0.26861118,0.28191950,draw
WC2010,South Africa,France,2010-06-22,0.14951273,0.21060997,0.63987730,home
WC2010,Australia,Serbia,2010-06-23,0.23064631,0.24721878,0.52213492,home
WC2010,Ghana,Germany,2010-06-23,0.15089108,0.20076749,0.64834142,away
WC2010,Slovenia,England,2010-06-23,0.09747358,0.16906196,0.73346446,away
WC2010,United States,Algeria,2010-06-23,0.57014017,0.22198053,0.20787930,home
WC2010,Cameroon,Netherlands,2010-06-24,0.15142479,0.22150274,0.62707247,away
WC2010,Denmark,Japan,2010-06-24,0.46663352,0.24726806,0.28609843,away
WC2010,Paraguay,New Zealand,2010-06-24,0.62326355,0.21285353,0.16388292,draw
WC2010,Slovakia,Italy,2010-06-24,0.17378782,0.20950437,0.61670781,home
WC2010,Chile,Spain,2010-06-25,0.15486481,0.20992774,0.63520746,away
WC2010,North Korea,Ivory Coast,2010-06-25,0.15814317,0.23006425,0.61179257,away
WC2010,Portugal,Brazil,2010-06-25,0.23405717,0.23864042,0.52730241,draw
WC2010,Switzerland,Honduras,2010-06-25,0.48984166,0.24011016,0.27004818,draw
WC2010,Uruguay,South Korea,2010-06-26,0.55741295,0.23298548,0.20960158,home
WC2010,United States,Ghana,2010-06-26,0.44802504,0.24076124,0.31121372,away
WC2010,Argentina,Mexico,2010-06-27,0.59546844,0.20944679,0.19508477,home
